GENEID	GSM461177_untreat_paired
FBGN0037988	0
FBGN0037849	2
FBGN0011766	4038
FBGN0262143	0
FBTI0062606	0
FBGN0267430	0
FBTI0020308	0
FBTR0304424_DF_NRG	0
FBGN0051510	152
FBTI0019447	11
FBGN0037996	0
FBGN0038535	3570
FBGN0260444	289
FBGN0038437	36
FBTI0063898	0
FBGN0038369	507
FBGN0038645	1
FBTI0019461	1
FBGN0262904	0
FBGN0037570	0
FBGN0263047	18
FBGN0011785	1748
FBGN0039092	0
FBGN0037705	362
FBGN0267806	0
FBGN0038454	149
FBTI0061004	0
FBGN0038643	0
FBGN0038238	0
FBGN0038838	0
FBGN0260743	110
FBGN0039879	2
FBGN0039246	0
FBGN0267116	0
FBTI0061924	0
FBGN0039820	0
FBGN0067629	34
FBGN0017590	0
FBGN0039726	169
FBGN0260634	1506
FBGN0037231	19
FBGN0037829	0
FBTI0063714	0
FBTI0059855	0
FBGN0267685	0
FBTI0061580	4
FBGN0284081	0
FBGN0037412	0
FBGN0037817	10
FBGN0051253	0
FBGN0262858	0
FBGN0267383	0
FBGN0039598	0
FBGN0287598	0
FBGN0004876	816
FBGN0012025	0
FBGN0039685	1
FBGN0039387	4
FBGN0004117	0
FBTI0061722	0
FBGN0037811	1
FBGN0041102	0
FBGN0262514	1
FBGN0267216	2
FBGN0038354	1
FBTI0019311	0
FBGN0037834	940
FBTI0063256	0
FBGN0003248	2
FBTR0304336_DF_NRG	0
FBGN0000723	1475
FBGN0051030	0
FBTR0309733_DF_NRG	0
FBGN0038199	2
FBGN0037313	889
FBTR0304494_DF_NRG	0
FBGN0037890	336
FBGN0039350	104
FBGN0037546	2
FBGN0015781	155
FBGN0053294	33
FBGN0267707	0
FBGN0051424	0
FBGN0002522	1
FBGN0037737	148
FBGN0037498	0
FBGN0051551	14
FBGN0051514	30
FBTI0019380	1
FBGN0039215	872
FBGN0039597	0
FBGN0264901	6
FBGN0037943	325
FBGN0038478	254
FBGN0051382	0
FBGN0028684	579
FBTI0061679	0
FBGN0051195	434
FBGN0267440	0
FBGN0028487	287
FBGN0002719	5811
FBTI0063748	0
FBGN0000279	39
FBGN0027841	146
FBGN0261479	288
FBGN0039696	399
FBGN0039827	320
FBGN0038331	449
FBGN0085313	0
FBTI0019358	0
FBGN0051202	3
FBGN0267118	0
FBTI0061725	0
FBGN0039261	594
FBGN0037630	18
FBGN0266744	8
FBGN0267774	1
FBGN0267337	0
FBGN0051143	0
FBGN0037746	336
FBGN0038854	658
FBGN0267200	2
FBGN0037656	86
FBTI0063367	1
FBTI0061080	0
FBGN0039510	21
FBGN0037700	391
FBTI0020376	0
FBGN0038839	0
FBTR0304522_DF_NRG	0
FBTI0062102	0
FBGN0039670	0
FBGN0039872	8
FBGN0263023	0
FBGN0086052	0
FBGN0039599	0
FBGN0037466	381
FBTI0019320	1
FBGN0039101	210
FBGN0011655	1280
FBGN0039274	104
FBGN0039731	55
FBTR0304415_DF_NRG	0
FBTI0019466	5
FBGN0039250	527
FBGN0015513	2269
FBGN0017581	17457
FBGN0020249	571
FBGN0267651	0
FBGN0051139	4
FBGN0040600	406
FBGN0024329	2002
FBGN0004842	0
FBGN0039465	280
FBGN0013343	1738
FBGN0261679	0
FBGN0002940	2
FBGN0027873	414
FBGN0038197	343
FBGN0039346	5
FBGN0082958	0
FBGN0039147	1
FBGN0263449	1
FBGN0266372	0
FBGN0038952	121
FBGN0000139	414
FBTR0309656_DF_NRG	0
FBGN0020238	7637
FBGN0038476	686
FBGN0039341	0
FBGN0037850	179
FBTI0062076	1
FBGN0039873	2
FBGN0037908	0
FBGN0263383	0
FBGN0037270	3453
FBGN0038540	0
FBGN0267692	0
FBGN0038965	195
FBGN0039609	3
FBGN0039424	0
FBGN0003268	1426
FBGN0260935	257
FBGN0026566	436
FBGN0266700	4
FBGN0262404	0
FBGN0037540	70
FBGN0039703	0
FBGN0039080	0
FBGN0039529	1
FBGN0044871	218
FBGN0039674	422
FBGN0051522	457
FBGN0283535	2488
FBGN0023083	731
FBGN0037902	48
FBGN0051133	42
FBGN0037395	0
FBGN0265606	0
FBGN0012001	0
FBGN0039196	0
FBGN0004107	111
FBTI0063150	5
FBGN0250823	1689
FBGN0037812	4
FBGN0037950	7
FBGN0004197	1066
FBGN0260231	0
FBGN0037512	0
FBGN0037714	29
FBGN0039237	0
RR48301_TRANSPOSABLE_ELEMENT	0
FBGN0267652	0
FBGN0037844	130
FBTR0309655_DF_NRG	0
FBTI0063802	0
FBGN0261839	0
FBTR0309704_DF_NRG	0
FBGN0267199	3
FBGN0037883	44
FBGN0039877	370
FBGN0014949	7
FBGN0038206	419
FBTI0059759	0
FBGN0039764	46
FBGN0038402	1
FBGN0039286	0
FBGN0038183	151
FBTI0020295	0
FBGN0038412	0
FBGN0038806	169
FBGN0022943	173
FBTI0062394	0
FBGN0005585	12198
FBTR0472827_DF_NRG	0
FBGN0040212	359
FBGN0053189	6
FBGN0040551	11
FBGN0064119	0
FBGN0261885	9096
FBGN0039494	1728
FBGN0039591	4
FBGN0051228	0
FBGN0267770	0
FBGN0037955	440
FBGN0011701	1
FBGN0086253	407
FBGN0265161	0
FBGN0038498	0
FBGN0267819	1
FBGN0019940	1
FBGN0037985	1
FBTI0020312	0
FBGN0261987	4
FBGN0039297	3
FBTI0019299	9
FBGN0038592	3
FBGN0063127	0
FBTR0309683_DF_NRG	0
FBGN0038257	7
FBGN0263453	0
FBTI0019283	0
FBGN0264841	0
FBGN0015240	378
FBGN0039436	0
FBGN0082923	0
FBGN0266233	0
FBGN0261261	923
FBGN0038505	0
FBGN0039109	406
FBGN0051580	0
FBGN0027563	9
FBTI0063873	3
FBGN0004387	1642
FBGN0265068	15
FBGN0038422	0
FBGN0038195	1038
FBGN0262477	1
FBTI0060339	0
FBGN0039543	243
FBGN0020018	133
FBGN0002869	0
FBGN0267435	39
FBGN0012026	0
FBGN0014366	363
FBGN0037305	284
FBGN0037670	55
FBGN0038469	4
FBGN0037923	21
FBGN0037418	0
FBGN0264912	3
FBGN0037708	42
FBGN0038589	0
FBGN0040078	492
FBGN0266446	4
FBGN0038165	1
FBTI0063928	0
FBGN0037668	2
FBGN0266717	6140
FBGN0039026	2327
FBGN0039332	3
FBGN0039635	1260
FBGN0037786	0
FBGN0278600	0
RR48332_TRANSPOSABLE_ELEMENT	21
FBGN0038029	0
FBGN0038755	148
FBTR0309593_DF_NRG	0
FBGN0260440	20
FBGN0037666	0
FBTI0059824	0
FBGN0038744	25
FBGN0267204	0
FBGN0038157	1
FBGN0026315	735
FBGN0003651	0
FBGN0043853	10
FBTI0019396	0
FBGN0085391	2
FBGN0038170	2
FBGN0005649	1707
FBTI0062875	23
FBGN0039536	10
FBGN0283562	0
FBGN0266734	0
FBGN0037307	1
FBGN0262559	1627
FBGN0037326	0
FBGN0039796	0
FBGN0038007	0
FBTI0020313	0
FBGN0037377	265
FBTI0063296	0
FBGN0262420	0
FBGN0037743	310
FBGN0267702	18
FBGN0039431	2020
FBGN0038475	258
FBGN0263404	0
FBGN0038132	0
FBGN0262424	0
FBGN0039264	3
FBGN0263117	0
FBGN0039240	741
FBGN0051002	0
FBTI0020323	0
FBGN0264904	7
FBGN0037815	92
FBTI0061907	0
FBGN0265422	0
FBTI0019405	20
FBGN0039804	755
FBGN0086134	875
FBGN0027570	29
FBGN0085309	0
FBGN0037933	111
FBGN0037299	301
FBGN0037912	20
FBGN0037279	675
FBGN0038145	4171
FBTI0019415	0
FBGN0267568	8
FBGN0053293	4
FBTI0063104	0
FBGN0266742	3
FBGN0038740	4
FBGN0267138	4
FBGN0001297	9049
FBGN0039821	2
FBGN0028968	2267
FBGN0013767	0
FBGN0265163	0
FBGN0040582	1
FBGN0038390	110
FBGN0038847	0
FBTI0019362	4
FBGN0264827	0
FBGN0003512	665
FBGN0286880	1
FBGN0024909	170
FBGN0262983	3
FBGN0038450	0
FBGN0051438	0
FBGN0051091	0
FBGN0065105	1
FBGN0038866	26
FBTI0019297	0
FBTI0019431	2
FBGN0263484	0
FBTI0063753	0
FBTI0020335	0
FBGN0038894	5
FBGN0039876	130
FBGN0022344	268
FBGN0038550	1
FBGN0266228	0
FBTI0062544	1
FBGN0038366	20
FBGN0038989	254
FBGN0026441	738
FBGN0085305	0
FBGN0038980	5
FBGN0016119	1086
FBTI0061702	1
FBGN0053630	0
FBGN0267132	0
FBGN0267753	1
FBGN0267751	0
FBGN0010770	336
FBGN0039049	1
FBGN0038196	251
FBGN0051497	0
FBGN0250846	0
FBGN0267140	0
FBGN0016650	2
FBGN0263402	0
FBGN0038630	0
FBGN0263384	0
FBGN0083047	2
FBGN0286918	0
FBTI0061737	0
FBGN0037354	309
FBGN0038461	245
FBGN0039655	13
FBGN0000246	93
FBGN0026563	0
FBGN0051274	0
FBGN0038139	0
FBGN0051491	0
FBGN0039830	5669
FBGN0037848	355
FBGN0038870	195
FBTI0062925	0
FBGN0086768	507
FBGN0267121	0
FBTI0061703	0
FBTI0019365	0
FBGN0064126	0
FBGN0004110	2
FBGN0262023	0
FBGN0267564	0
FBGN0039403	98
FBGN0037516	0
FBGN0085346	0
FBGN0262823	0
FBGN0267123	0
FBGN0285925	204
FBGN0063649	540
FBGN0266733	0
FBGN0053099	1
FBTI0062080	0
FBGN0038286	1171
FBGN0027494	0
FBGN0039272	1
FBGN0040682	2
FBGN0039232	1
FBGN0250821	22
FBGN0003480	28
FBGN0283560	0
FBGN0039734	3
FBGN0053536	0
FBGN0051388	63
FBGN0264816	44
FBGN0038303	389
FBGN0051441	70
FBGN0038652	191
FBGN0039611	9
FBGN0266170	0
FBGN0000447	316
FBGN0039300	6479
FBGN0263022	0
FBGN0039022	59
FBGN0039098	210
FBGN0039626	414
FBGN0010768	260
FBGN0039848	26
FBTI0019296	9
FBGN0051526	14
FBTI0019329	0
FBGN0085308	0
FBTI0061727	0
FBTI0063889	0
FBGN0037602	32
FBGN0039690	158
FBGN0051516	10
FBGN0038073	0
FBGN0263579	0
FBGN0262982	0
FBGN0265418	0
FBGN0250831	0
FBGN0051495	18
FBGN0267710	0
FBGN0015402	487
FBGN0002773	31
FBTI0020372	0
FBGN0012024	0
FBGN0011959	0
FBTR0309673_DF_NRG	0
FBGN0264899	0
FBGN0026634	192
FBGN0051217	45
FBTR0472760_DF_NRG	0
FBGN0039379	390
FBGN0038361	6
FBGN0262127	2783
FBGN0266398	0
FBGN0051019	19
FBGN0001321	1
FBGN0261061	0
FBTI0019398	4
FBTI0062069	1
FBTI0063896	0
FBGN0025781	219
FBGN0286030	0
FBGN0038275	175
FBGN0039254	117
FBTI0019337	1
FBGN0038568	0
FBGN0039265	295
FBGN0038697	1
FBGN0263738	145
FBGN0037680	189
FBGN0051014	0
FBGN0262024	0
FBGN0243511	970
FBTI0063885	0
FBGN0085325	1
FBGN0039682	90
FBGN0020385	165
FBGN0011845	0
FBTI0061784	2
FBGN0000036	0
FBGN0038530	13
FBGN0037689	0
FBGN0038313	50
FBGN0267649	0
FBGN0267680	0
FBGN0039104	0
FBGN0267108	0
FBGN0038914	0
FBGN0260745	4587
FBGN0038828	4
FBGN0038414	26
FBGN0278597	0
FBGN0267682	0
FBGN0266382	0
FBGN0037773	56
FBTI0019468	23
FBGN0038642	0
FBGN0083950	3
FBTI0020328	1
FBGN0000247	2049
FBTI0019429	8
FBTI0064286	0
FBGN0028374	0
FBGN0051242	0
FBGN0267926	0
FBGN0004577	1
FBGN0266408	7
FBGN0003510	0
FBGN0038619	82
FBGN0038976	282
FBTI0019386	0
FBGN0267191	0
FBGN0043884	8846
FBGN0262883	2
FBGN0012003	1
FBGN0262364	11
FBGN0038957	31
FBGN0267801	0
FBGN0038797	0
FBTI0062168	0
FBGN0038247	2
FBTI0062496	0
FBGN0284419	0
FBGN0037213	312
FBGN0286041	0
FBGN0038827	256
FBGN0243512	1500
FBGN0085320	0
FBGN0011273	0
FBGN0020626	1112
FBGN0054027	0
FBGN0038108	4452
RR48372_TRANSPOSABLE_ELEMENT	0
FBGN0266418	373
FBTI0061689	0
FBGN0039315	0
FBGN0267385	4162
FBGN0037443	1108
FBGN0038747	1556
FBGN0012002	0
FBGN0039638	415
FBGN0004901	522
FBGN0051054	2
FBTR0309664_DF_NRG	0
FBGN0038376	1435
FBGN0267194	0
FBGN0038380	0
FBGN0039705	738
FBTR0472729_DF_NRG	0
FBTI0019353	8
FBGN0038057	71
FBGN0023097	983
FBGN0083986	43
FBGN0037376	665
FBTI0061723	0
FBGN0037249	6685
FBGN0085306	0
FBGN0039531	99
FBTI0062144	0
FBGN0039883	62
FBTI0062524	0
FBGN0054034	5
FBGN0051573	0
FBTI0062367	0
FBTI0019407	3
FBGN0010401	0
FBGN0003129	1
FBGN0039767	806
FBGN0037910	0
FBGN0264915	0
FBGN0264491	731
FBGN0266730	0
FBGN0263527	0
FBGN0051515	0
FBGN0262383	0
FBGN0002354	74
FBGN0038143	13
FBGN0038727	2
FBGN0263755	118
FBGN0039648	1
FBGN0004777	0
FBTR0472815_DF_NRG	0
FBGN0004175	0
FBGN0267775	0
FBTI0020386	0
FBGN0001139	3004
FBGN0265423	0
FBTI0019300	0
FBTI0060979	0
FBGN0041710	2519
FBGN0267314	0
FBGN0045862	829
FBTI0062601	0
FBGN0039064	19
FBGN0038638	552
FBGN0051331	0
FBGN0085382	1
FBTI0061579	0
FBGN0039048	1
FBGN0005632	6218
FBGN0039592	0
FBTR0304253_DF_NRG	0
FBGN0051334	0
FBGN0037439	649
FBGN0051081	0
FBGN0085413	6
FBGN0267153	0
FBGN0039491	1
FBTI0061792	0
FBGN0039413	1
FBGN0087013	6691
FBGN0265083	0
FBGN0039779	0
FBGN0039509	351
FBGN0283554	0
FBGN0051021	2
FBGN0039050	0
FBGN0014342	106
FBGN0267777	1
FBGN0262323	0
FBGN0038607	3
FBGN0023178	2
FBTR0472809_DF_NRG	0
FBGN0267675	0
FBTI0059752	0
FBGN0051161	6
FBGN0037489	390
FBGN0266242	0
FBGN0037624	49
FBGN0261844	0
FBGN0039835	70
FBGN0262233	0
FBGN0259227	2328
FBGN0051361	841
FBGN0037650	0
FBGN0037722	165
FBGN0038865	213
FBGN0039854	14
FBGN0266413	1
FBTI0062468	0
FBTI0062160	0
FBGN0261575	1
FBGN0261006	0
FBGN0267111	1
FBGN0262028	71
FBGN0039861	201
FBGN0038460	10
FBTI0020349	0
FBGN0026562	49457
FBGN0261840	0
FBGN0001230	131
FBGN0041711	0
FBGN0039190	0
FBGN0010438	139
RR48405_TRANSPOSABLE_ELEMENT	2
FBGN0039161	0
FBGN0051282	0
FBGN0260466	0
FBGN0267339	117
FBGN0015279	1631
FBGN0038149	430
FBGN0259194	0
FBGN0039233	119
FBGN0000015	0
FBGN0039622	53
FBGN0262174	0
FBGN0039093	0
FBGN0261550	8250
FBGN0037972	1
FBGN0051055	0
FBGN0262539	4
FBTI0062489	0
FBGN0259991	0
FBGN0037382	317
FBGN0037573	590
FBTI0019414	1
FBGN0038886	1
FBGN0037601	0
FBGN0038142	1
FBGN0051570	0
FBGN0016691	1238
FBGN0051191	0
FBGN0264740	0
FBGN0267210	0
FBTI0020316	0
FBTI0019313	2
FBGN0038343	1
FBGN0264694	530
FBGN0261842	0
FBGN0263343	0
FBTI0061515	0
FBGN0053325	0
FBGN0083985	23
FBGN0265318	1
FBGN0051471	0
FBTR0304500_DF_NRG	0
FBGN0287601	0
FBGN0039023	87
FBGN0260399	250
FBGN0267131	0
FBTI0062757	0
FBTI0020368	0
FBGN0263979	1477
FBGN0000140	568
FBGN0038037	263
FBGN0039554	544
FBGN0038071	3
FBGN0027539	305
FBGN0051221	1
FBGN0002921	8842
FBGN0260969	3
FBGN0267764	4
FBTI0019445	8
FBGN0038209	1
FBGN0267112	0
FBGN0037217	51
FBGN0039711	279
FBTI0020325	0
FBGN0001215	4407
FBGN0265351	91
FBGN0038268	119
FBGN0039071	4
FBTR0304229_DF_NRG	0
FBGN0039086	1
FBGN0037698	10
FBGN0039299	0
FBGN0027608	16
FBGN0002592	9
FBGN0046689	0
FBGN0025808	79
FBGN0038981	633
FBGN0063298	0
FBGN0039338	1777
FBGN0038134	0
FBGN0285955	3192
FBTI0019335	0
FBGN0266238	0
FBGN0040679	0
FBGN0042102	5
FBGN0261995	381
FBGN0004779	0
FBGN0038716	1
FBGN0263460	0
FBGN0039538	54
FBTI0063783	0
FBGN0039360	217
FBGN0026314	1
FBGN0264902	2
FBGN0020546	0
FBGN0038092	6
FBGN0011474	740
FBGN0261649	29
FBGN0037537	455
FBGN0038975	10
FBGN0266253	0
FBTI0059740	0
FBGN0039163	235
FBGN0003257	452
FBGN0266404	0
FBGN0038280	0
FBGN0027544	0
FBGN0083048	2
FBGN0263390	3
FBTI0061904	0
FBGN0038337	5
FBGN0284234	0
FBTR0304222_DF_NRG	0
FBGN0061476	275
FBGN0267233	0
FBGN0038330	134
FBGN0037284	0
FBGN0267443	14
FBGN0267781	5
FBGN0260463	11
FBGN0039396	1
FBGN0051523	3323
FBGN0038931	0
FBGN0044826	1789
FBTI0062074	0
FBGN0037981	110
FBGN0037433	11
FBGN0085324	0
FBGN0267676	0
FBTI0019366	2
FBGN0037224	2
FBGN0267681	0
FBGN0003450	0
FBGN0039562	11051
FBGN0043069	0
FBGN0040259	1272
FBGN0266739	3
FBGN0039836	29
FBGN0051189	0
FBGN0019624	1629
FBGN0038849	1
FBGN0038731	0
FBTI0061867	0
FBGN0037338	142
FBGN0028688	863
FBTR0304305_DF_NRG	0
FBGN0038144	2
FBGN0283468	1091
FBGN0039802	681
FBGN0287225	1339
FBGN0267939	45
FBGN0040493	1521
FBTI0059798	10
FBGN0263544	0
FBGN0016685	1637
FBTI0063897	0
FBTI0059725	0
FBGN0039136	674
FBTI0063085	0
FBGN0037446	598
FBGN0038721	652
FBGN0263412	0
FBGN0011672	728
FBTI0019422	0
FBGN0039697	1540
FBGN0027518	604
FBGN0037873	474
FBGN0039713	54160
FBGN0039602	282
FBGN0039067	179
FBGN0039589	170
FBGN0264830	0
FBGN0037760	1502
FBGN0039118	21
FBGN0266247	0
FBGN0038063	5
FBGN0039349	250
FBTI0063920	0
FBGN0039667	17
FBGN0039483	2
FBGN0263480	0
FBGN0037432	5
FBGN0037896	42
FBGN0267799	0
FBGN0038569	354
FBGN0262363	0
FBGN0038658	2
FBGN0013813	15
FBGN0038546	465
FBGN0086054	2
FBGN0037621	477
FBGN0002937	0
FBGN0003169	1004
FBGN0004897	0
FBGN0037780	230
FBGN0262582	7785
FBGN0038741	101
FBGN0051207	0
FBGN0025879	10
FBGN0040253	1
FBGN0085384	28
FBTI0063746	0
FBGN0053551	0
FBGN0027562	0
FBGN0039594	8
FBTI0062446	1
FBGN0037324	0
FBGN0038234	75
FBGN0039197	0
FBGN0266566	2
FBGN0019925	739
FBGN0039480	0
FBGN0037611	34
FBTI0063300	0
FBGN0266599	49474
FBGN0039065	108
FBGN0038765	30
FBGN0267818	0
FBGN0004186	0
FBGN0262994	0
FBGN0038217	0
FBGN0038584	153
FBGN0039687	340
FBGN0263652	0
FBGN0038492	2
FBGN0037885	65
FBTI0019372	2
FBTI0059907	0
FBTI0019424	0
FBGN0266268	842
FBGN0038942	0
FBGN0040623	0
FBTI0062759	0
FBGN0037485	1
FBTI0061927	0
FBGN0051176	0
FBGN0051477	19
FBGN0039204	355
FBGN0038179	3
FBGN0038588	82
FBGN0037574	62
FBGN0038878	1
FBTI0061865	0
FBGN0038511	0
FBGN0026576	511
FBGN0266916	501
FBGN0261932	0
FBGN0039305	60
FBGN0038014	15
FBGN0038484	22
FBGN0250910	1
FBGN0265274	17
FBGN0263413	72
FBTI0061078	0
FBTR0445488_DF_NRG	0
FBGN0037618	2
FBTI0062551	2
FBGN0039840	2
FBGN0038156	18
FBGN0051506	0
FBGN0267766	0
FBGN0026417	107
FBGN0038028	0
FBTI0061735	0
FBGN0037429	84
FBTI0019403	0
FBGN0001197	1797
FBTI0060417	0
FBGN0013278	0
FBGN0038977	8
FBTR0309743_DF_NRG	0
FBGN0039376	0
FBGN0024558	504
FBGN0039875	1045
FBGN0039434	0
FBGN0264832	0
FBGN0037556	343
FBGN0262005	0
FBGN0267104	1
FBGN0041707	2
FBGN0263554	0
FBGN0267761	1
FBGN0037225	40
FBGN0004510	396
FBGN0038076	0
FBTI0061577	0
FBTI0064294	0
FBGN0051140	316
FBGN0266697	3
FBTI0061513	0
FBGN0039366	0
FBGN0264430	0
FBGN0025571	1385
FBTI0062854	0
FBGN0039347	14
FBGN0058182	0
FBGN0267918	0
FBTI0020352	0
FBGN0086704	7
FBTI0062098	0
FBGN0085465	4
FBGN0038186	0
FBGN0011905	0
FBGN0039453	1
FBTR0309573_DF_NRG	0
FBGN0037391	708
FBGN0038829	446
FBGN0083049	1
FBGN0038123	0
FBGN0000454	1839
FBGN0039348	515
RR48349_TRANSPOSABLE_ELEMENT	0
FBGN0266407	9
FBGN0037215	3192
FBGN0286204	0
FBGN0283555	0
FBGN0037538	302
FBTI0020385	0
FBGN0259917	0
FBGN0037999	502
FBGN0027657	238
FBGN0037862	1
FBGN0038909	97
FBGN0038127	0
FBTI0019368	1
FBGN0039405	0
FBGN0053207	424
FBGN0039467	646
FBGN0267661	16
FBGN0260760	0
FBGN0020912	1
FBGN0004606	12923
FBGN0038771	1110
FBTI0019456	0
FBGN0051269	0
FBGN0263118	193
FBGN0037992	0
